Objekt,Ebene,Bauteil,AKS Plan,AKS real,alte Türnummer ,Schlossernummer,Höhe [cm],Breite [cm],Zylinder [Z/B/WC/S] ,"Flügel [1,2,3]",Hersteller,Seriennummer,Feuerwider-stand,Brand-schutz-grenze [ja/nein],Flucht [ja/nein],Fluchtwegs-tür Nr,Panik [D/ St.K],Nottaster [ja/nein],Offenhalte-magnet [ja/nein],Taster für Schließung [ja/nein],Vorsicherung [ja/nein],SZ - Magnet [ja/nein],Bemerkung,AKS_Plan,AKS_real,Name,Nummer,StatusText,Status,CLASS,Raum2,Raum2[2],tow.tod::anmerkung,tow_tod_last::durchführung,tow_tod_last::pnl_Nme,pnl.tow.tod_last::f_Name,eAntrieb,exf01,haltemechanik,hersteller,klassifikation,lfd.,Plan Nr.,BAUTEIL,EBENE,MODUL,RAUMNR.,NR.,FLUCHT MÖGLICH,Unnamed: 8,BLINDZYL./ ROSETTE/ ABDECKUNG,ZYL.,PANIKSCHLOSS,VERSPERRT,VERSPERRBAR,Unnamed: 14,NOTTASTER,Unnamed: 16,MÄNGEL,Unnamed: 18,Bewertung,Unnamed: 20,übermittelt,OBJ.,GESCH.,Alte Türnummer,BSTüreALT,Raumnr.,AKS RAUM,UZ6/Steu.,KREIS,LFD. NR,INFO
420.0,00,B,1805.01,1805.01,102,Nichtvorhanden,220.0,85,Z/S,1,KeinHersteller,Nichtlesbar,nein,nein,ja,14,D/K,Nein,Nein,Nein,Nein,Nein,,42000B1805.01,42000B1805.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2605.01,2605.01,0102A,420/0/78,320.0,320,NichtVorhanden,1,KeinHersteller,Nichtlesbar,nein,ja,nein,keinNr.,nein,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42000B2605.01,42000B2605.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2605.02,2605.02,0103A,Nichtvorhanden,220.0,85,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,K/D,Nein,Nein,Nein,Nein,Nein,,42000B2605.02,42000B2605.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2605.03,2605.03,0103C,Nichtvorhanden,500.0,420,NichtVorhanden,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,nein,Nein,Nein,Nein,Nein,Nein,,42000B2605.03,42000B2605.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2605.04,2605.04,0103,Nichtvorhanden,220.0,85,Z,1,KeinHersteller,Nichtlesbar,nein,nein,ja,7,D/K,Nein,Nein,Nein,Nein,Nein,,42000B2605.04,42000B2605.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2605.05,2605.05,0103B,Nichtvorhanden,500.0,420,NichtVorhanden,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,nein,Nein,Nein,Nein,Nein,Nein,,42000B2605.05,42000B2605.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,B,2704.01,2704.01,0104,Nichtvorhanden,200.0,93,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keinNr.,D/K,Nein,Nein,Nein,Nein,Nein,,42000B2704.01,42000B2704.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,00,A,4601.01,keineNr.,0A4601.01,Nichtvorhanden,300.0,150/150,Z,2,Techentrup,202210000001289880,EI290,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,ContainerÖllagerbeiKFZWerkstätte,42000A4601.01,42000AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,Z1,A,4410.01,4410.01,055C,keineNr.,200.0,90,Z,1,keinHersteller,keineNr.,nein,nein,nein,keineNr.,D/D,nein,nein,nein,nein,nein,,420Z1A4410.01,420Z1A4410.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0516.01,keineNr.,102,Nichtvorhanden,200.0,80,B,1,KeinHersteller,Nichtlesbar,nein,ja,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42001A0516.01,42001AkeineNr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0517.01,0510.01,102B,Nichtvorhanden,200.0,70,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0517.01,42001A0510.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0517.02,0517.02,102C,Nichtvorhanden,200.0,60,WC,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0517.02,42001A0517.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0616.01,0616.01,102A,Nichtvorhanden,200.0,70,Z,1,KeinHersteller,Nichtlesbar,nein,nein,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,,42001A0616.01,42001A0616.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0416.01,0416.01,101,420/1/2,200.0,90/90,B,2,KeinHersteller,Nichtlesbar,nein,ja,ja,6,D/D,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42001A0416.01,42001A0416.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0414.01,0414.01,103A,Nichtvorhanden,200.0,90/90,Z/S,2,KeinHersteller,Nichtlesbar,nein,nein,ja,5,D/D,Nein,Nein,Nein,Nein,Ja,,42001A0414.01,42001A0414.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.0,01,A,0414.02,0414.02,103B,420/1/3,200.0,100,B,1,KeinHersteller,Nichtlesbar,nein,ja,nein,keineNr.,D/D,Nein,Nein,Nein,Nein,Nein,keineHerstellerangaben,42001A0414.02,42001A0414.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
